k,Train_mean,Train_std,Test_mean,Test_std
1039,0.24597448126859892,0.0,0.24076691034595213,0.0
1139,0.23999953411718117,0.0,0.23421746338016686,0.0
1239,0.23450794039029332,0.0,0.2288909421963747,0.0
1339,0.23026840673899499,0.0,0.22440688099573336,0.0
1439,0.22570857864975513,0.0,0.21981411528113706,0.0
1539,0.22149233913939798,0.0,0.21630839470609017,0.0
1639,0.2177769236592766,0.0,0.21217762317580238,0.0
1739,0.21384603737544913,0.0,0.20946001032692882,0.0
1839,0.21068385774268128,0.0,0.20625322716525804,0.0
1939,0.2076905606317371,0.0,0.20367149495882816,0.0
