k,Train_mean,Train_std,Test_mean,Test_std
253,0.3720481955776073,0.0,0.3521075087643014,0.0
269,0.365653953889248,0.0,0.3470255727369079,0.0
285,0.35997600703483057,0.0,0.34267739217871024,0.0
301,0.35470570764688414,0.0,0.33694322906758706,0.0
317,0.34967417320358496,0.0,0.3314808272413512,0.0
333,0.3447299917888153,0.0,0.32694241378373234,0.0
349,0.3391743391743392,0.0,0.322974699024377,0.0
365,0.3351444527915116,0.0,0.31819170041035955,0.0
381,0.33146980205803733,0.0,0.3145772753213577,0.0
397,0.3270613858849153,0.0,0.31166942957306304,0.0
413,0.32366044130750016,0.0,0.30857135092534715,0.0
429,0.3198867904750258,0.0,0.3049841019648341,0.0
445,0.3165499047851989,0.0,0.3018588471886295,0.0
461,0.31351001939237233,0.0,0.29952170013859825,0.0
477,0.3101789572377808,0.0,0.29658667826181484,0.0
493,0.3069177775060128,0.0,0.29488817023126884,0.0
509,0.30370900959136254,0.0,0.2914911541701769,0.0
525,0.3014785955962427,0.0,0.29020028806696196,0.0
541,0.2988114164584753,0.0,0.2876321439247765,0.0
557,0.296534414181473,0.0,0.2843438323776395,0.0
573,0.29433894139776495,0.0,0.28184362855667583,0.0
589,0.29165429165429163,0.0,0.279411365056934,0.0
605,0.289330701095407,0.0,0.27723727477783516,0.0
621,0.2867392279156985,0.0,0.2748865396635595,0.0
637,0.2847184611890494,0.0,0.27301138679783676,0.0
653,0.2825521060815179,0.0,0.27154387585944506,0.0
669,0.28057792763675116,0.0,0.2695871946082561,0.0
685,0.2785105726282197,0.0,0.26829632850504115,0.0
701,0.2765655118596295,0.0,0.26682881756664945,0.0
717,0.2749523925994514,0.0,0.2652118379215697,0.0
733,0.27298986122515534,0.0,0.2634318015055575,0.0
749,0.27144662438780087,0.0,0.2619235263744327,0.0
765,0.2694025635202106,0.0,0.2604831915645297,0.0
781,0.2681039151627387,0.0,0.25984455254504446,0.0
797,0.2663160898455016,0.0,0.25792863548658856,0.0
813,0.264848558966206,0.0,0.2572628203386146,0.0
829,0.26291514526808646,0.0,0.25545560779411364,0.0
845,0.26147090852973204,0.0,0.25436856265456426,0.0
861,0.26009655421420125,0.0,0.2529961681658831,0.0
877,0.258576611517788,0.0,0.25152865722749135,0.0
893,0.2574235515411986,0.0,0.2501698508030546,0.0
909,0.25575802046390284,0.0,0.24879745631437344,0.0
925,0.25432543079601905,0.0,0.2472212408620268,0.0
941,0.2531374296080178,0.0,0.24594396282305622,0.0
957,0.25192613427907545,0.0,0.24482974155501808,0.0
973,0.25095942743001565,0.0,0.24340299480935945,0.0
989,0.24942783766313179,0.0,0.24264206321167486,0.0
