k,Train_mean,Train_std,Test_mean,Test_std
105,0.4740066504772387,0.0,0.44279424953121177,0.0
109,0.46957494016317547,0.0,0.43799766285294994,0.0
113,0.4649044649044649,0.0,0.4345462945348806,0.0
117,0.46086293145116675,0.0,0.4317879174932739,0.0
121,0.4566466919408096,0.0,0.4289208359377123,0.0
125,0.45286139403786463,0.0,0.4252928227844661,0.0
129,0.44915180209297856,0.0,0.42196374704459605,0.0
133,0.4453897983309748,0.0,0.41837649808408295,0.0
137,0.44152297093473564,0.0,0.4154414762072995,0.0
141,0.4382734382734383,0.0,0.413647851727043,0.0
145,0.4349947879359644,0.0,0.4104682446938609,0.0
149,0.4313550784139019,0.0,0.40779139603772047,0.0
153,0.42851319321907555,0.0,0.40476125771122645,0.0
157,0.4253277194453665,0.0,0.40300839742370304,0.0
161,0.42236936354583415,0.0,0.40106530423675846,0.0
165,0.4198011845070669,0.0,0.3979264613963095,0.0
169,0.41761153525859407,0.0,0.3942984482430633,0.0
173,0.4149035913741796,0.0,0.391811832486344,0.0
177,0.41191029426323544,0.0,0.3894882735005571,0.0
181,0.40959252723958606,0.0,0.3869065412941272,0.0
185,0.4073097014273485,0.0,0.38539826616300243,0.0
189,0.4041999336116983,0.0,0.3830475310487268,0.0
193,0.40172493113669583,0.0,0.38075114819142863,0.0
197,0.3987491046314576,0.0,0.3790390520966383,0.0
201,0.3965361612420436,0.0,0.37633502731200913,0.0
205,0.3942009236126883,0.0,0.3745414028317526,0.0
209,0.392331568802157,0.0,0.3730874799576052,0.0
213,0.39035739035739037,0.0,0.3716199690192135,0.0
217,0.3884705649411532,0.0,0.369309998097671,0.0
221,0.3863973863973864,0.0,0.3675027855531701,0.0
225,0.3846386787563258,0.0,0.3660624507432671,0.0
229,0.38266450031155913,0.0,0.36364377530776965,0.0
233,0.38079514550102783,0.0,0.36170068212082507,0.0
237,0.37922861452273215,0.0,0.36027393537516644,0.0
241,0.3769865534571417,0.0,0.3594178873277713,0.0
245,0.3749424925895514,0.0,0.3573660896268718,0.0
249,0.37366713837302074,0.0,0.3563333967442998,0.0
