k,Train_mean,Train_std,Test_mean,Test_std
53,0.5570619100030865,0.0,0.5042530641084871,0.0
57,0.5475171357524299,0.0,0.49870913389678506,0.0
61,0.5400979518626577,0.0,0.4915889882327364,0.0
65,0.5323642970701794,0.0,0.48460472321113135,0.0
69,0.5249276425747014,0.0,0.4790607929994293,0.0
73,0.5181199298846357,0.0,0.4733266298883061,0.0
77,0.5118712765771589,0.0,0.4688289806234204,0.0
81,0.5057682116505646,0.0,0.4653232600483735,0.0
85,0.49971755854108796,0.0,0.4600918553142919,0.0
89,0.49348637583931704,0.0,0.4559474957197598,0.0
93,0.4881112528171352,0.0,0.45139549419789654,0.0
97,0.48273612979495334,0.0,0.4466260836481235,0.0
101,0.47786183080300726,0.0,0.4426855450172568,0.0
