,k,Train_mean,Train_std,Test_mean,Test_std
0,1,1.0,0.0,0.8217245971138951,0.0
1,5,0.8511853805971453,0.0,0.7109954615865424,0.0
2,9,0.7821240762417233,0.0,0.6628529499687474,0.0
3,13,0.7346214993273816,0.0,0.6315324618854798,0.0
4,17,0.6998316998316998,0.0,0.607929994293013,0.0
5,21,0.6721174956469074,0.0,0.5892735820854961,0.0
6,25,0.6495047083282377,0.0,0.5738375411038943,0.0
7,29,0.6304559245735716,0.0,0.5603174171807485,0.0
8,33,0.6152564976094388,0.0,0.5485093893523929,0.0
9,37,0.6015071309188956,0.0,0.5382232247194064,0.0
10,41,0.5887128240069417,0.0,0.5299073294018534,0.0
11,45,0.5775432834256363,0.0,0.520694621844172,0.0
12,49,0.5666940372822725,0.0,0.5140092942359431,0.0
0,53,0.5570619100030865,0.0,0.5042530641084871,0.0
1,57,0.5475171357524299,0.0,0.498709133896785,0.0
2,61,0.5400979518626577,0.0,0.4915889882327364,0.0
3,65,0.5323642970701794,0.0,0.4846047232111313,0.0
4,69,0.5249276425747014,0.0,0.4790607929994293,0.0
5,73,0.5181199298846357,0.0,0.4733266298883061,0.0
6,77,0.5118712765771589,0.0,0.4688289806234204,0.0
7,81,0.5057682116505646,0.0,0.4653232600483735,0.0
8,85,0.4997175585410879,0.0,0.4600918553142919,0.0
9,89,0.493486375839317,0.0,0.4559474957197598,0.0
10,93,0.4881112528171352,0.0,0.4513954941978965,0.0
11,97,0.4827361297949533,0.0,0.4466260836481235,0.0
12,101,0.4778618308030072,0.0,0.4426855450172568,0.0
0,105,0.4740066504772387,0.0,0.4427942495312117,0.0
1,109,0.4695749401631754,0.0,0.4379976628529499,0.0
2,113,0.4649044649044649,0.0,0.4345462945348806,0.0
3,117,0.4608629314511667,0.0,0.4317879174932739,0.0
4,121,0.4566466919408096,0.0,0.4289208359377123,0.0
5,125,0.4528613940378646,0.0,0.4252928227844661,0.0
6,129,0.4491518020929785,0.0,0.421963747044596,0.0
7,133,0.4453897983309748,0.0,0.4183764980840829,0.0
8,137,0.4415229709347356,0.0,0.4154414762072995,0.0
9,141,0.4382734382734383,0.0,0.413647851727043,0.0
10,145,0.4349947879359644,0.0,0.4104682446938609,0.0
11,149,0.4313550784139019,0.0,0.4077913960377204,0.0
12,153,0.4285131932190755,0.0,0.4047612577112264,0.0
13,157,0.4253277194453665,0.0,0.403008397423703,0.0
14,161,0.4223693635458341,0.0,0.4010653042367584,0.0
15,165,0.4198011845070669,0.0,0.3979264613963095,0.0
16,169,0.417611535258594,0.0,0.3942984482430633,0.0
17,173,0.4149035913741796,0.0,0.391811832486344,0.0
18,177,0.4119102942632354,0.0,0.3894882735005571,0.0
19,181,0.409592527239586,0.0,0.3869065412941272,0.0
20,185,0.4073097014273485,0.0,0.3853982661630024,0.0
