Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
8.0000000000,0,4256.6665039063,4241.6665039063,4198.9741210938,4268.8461914063,4241.1538085938,4246.1538085938,4152.9487304688,4282.3076171875,4285.3847656250,4252.4360351563,4316.4101562500,4272.4360351563,4263.8461914063,4364.8715820313,4267.0512695313,4243.5898437500,,,
8.0078125000,0,4158.2050781250,4274.4873046875,4244.1025390625,4247.3076171875,4196.2822265625,4296.7949218750,4310.2563476563,4253.4614257813,4308.8461914063,4281.4101562500,4281.9228515625,4417.8203125000,4260.0000000000,4241.0258789063,4130.2563476563,4270.0000000000,,,
8.0156250000,0,4242.6923828125,4246.1538085938,4156.6665039063,4279.4873046875,4283.5898437500,4246.2822265625,4270.5126953125,4271.6665039063,4258.0771484375,4368.2050781250,4258.7177734375,4241.1538085938,4251.4101562500,4267.6923828125,4240.1284179688,4246.5385742188,,,
8.0234375000,0,4128.8461914063,4280.2563476563,4283.7177734375,4254.3588867188,4327.5639648438,4277.5639648438,4262.3076171875,4349.7436523438,4264.8715820313,4245.0000000000,4319.3588867188,4272.9487304688,4240.6411132813,4246.2822265625,4163.3334960938,4296.5385742188,,,
8.0312500000,0,4306.0258789063,4248.5898437500,4393.4614257813,4282.8203125000,4282.3076171875,4404.1025390625,4259.3588867188,4245.2563476563,4200.2563476563,4271.9228515625,4242.5639648438,4242.1796875000,4174.1025390625,4283.4614257813,4287.0512695313,4243.2050781250,,,
8.0390625000,0,4333.8461914063,4272.5639648438,4267.1796875000,4391.1538085938,4260.7690429688,4246.7949218750,4132.0512695313,4272.3076171875,4242.8203125000,4242.0512695313,4175.0000000000,4284.2309570313,4288.7177734375,4251.6665039063,4301.7949218750,4273.5898437500,,,
8.0468750000,0,4333.8461914063,4272.5639648438,4267.1796875000,4391.1538085938,4260.7690429688,4246.7949218750,4132.0512695313,4272.3076171875,4242.8203125000,4242.0512695313,4175.0000000000,4284.2309570313,4288.7177734375,4251.6665039063,4301.7949218750,4273.5898437500,,,
8.0546875000,0,4333.8461914063,4272.5639648438,4267.1796875000,4391.1538085938,4260.7690429688,4246.7949218750,4132.0512695313,4272.3076171875,4242.8203125000,4242.0512695313,4175.0000000000,4284.2309570313,4288.7177734375,4251.6665039063,4301.7949218750,4273.5898437500,,,
8.0625000000,0,4333.8461914063,4272.5639648438,4267.1796875000,4391.1538085938,4260.7690429688,4246.7949218750,4132.0512695313,4272.3076171875,4242.8203125000,4242.0512695313,4175.0000000000,4284.2309570313,4288.7177734375,4251.6665039063,4301.7949218750,4273.5898437500,,,
8.0703125000,0,4333.8461914063,4272.5639648438,4267.1796875000,4391.1538085938,4260.7690429688,4246.7949218750,4132.0512695313,4272.3076171875,4242.8203125000,4242.0512695313,4175.0000000000,4284.2309570313,4288.7177734375,4251.6665039063,4301.7949218750,4273.5898437500,,,
8.0781250000,0,4267.5639648438,4387.1796875000,4260.7690429688,4248.7177734375,4144.2309570313,4271.1538085938,4243.4614257813,4244.3588867188,4124.6152343750,4287.1796875000,4290.2563476563,4250.1284179688,4291.0258789063,4275.6411132813,4265.6411132813,4370.1284179688,,,
8.0859375000,0,4259.6152343750,4247.4360351563,4232.0512695313,4269.3588867188,4244.3588867188,4242.9487304688,4143.7177734375,4282.5639648438,4288.0771484375,4247.6923828125,4318.4614257813,4276.5385742188,4262.5639648438,4361.9228515625,4256.4101562500,4242.6923828125,,,
8.0937500000,0,4238.8461914063,4265.6411132813,4244.2309570313,4241.2822265625,4181.5385742188,4275.0000000000,4277.1796875000,4246.9228515625,4335.2563476563,4266.7949218750,4255.6411132813,4358.9741210938,4254.1025390625,4242.6923828125,4162.6923828125,4265.2563476563,,,
8.1015625000,0,4244.8715820313,4242.3076171875,4127.0512695313,4271.5385742188,4265.7690429688,4251.7949218750,4285.8974609375,4264.4873046875,4250.8974609375,4334.6152343750,4261.6665039063,4248.4614257813,4199.7436523438,4271.2822265625,4243.8461914063,4244.4873046875,,,
8.1093750000,0,4132.6923828125,4283.8461914063,4286.4101562500,4253.2050781250,4280.2563476563,4276.4101562500,4267.9487304688,4359.8715820313,4252.6923828125,4245.1284179688,4191.1538085938,4262.8203125000,4240.7690429688,4245.0000000000,4137.0512695313,4265.3847656250,,,
8.1171875000,0,4260.3847656250,4243.4614257813,4247.8203125000,4265.2563476563,4247.0512695313,4321.9228515625,4247.5639648438,4241.4101562500,4147.0512695313,4260.0000000000,4240.7690429688,4246.4101562500,4158.4614257813,4256.0258789063,4244.3588867188,4250.0000000000,,,
8.1250000000,0,4260.1284179688,4261.9228515625,4241.9228515625,4299.7436523438,4258.2050781250,4245.7690429688,4193.0771484375,4267.9487304688,4245.1284179688,4248.0771484375,4178.9741210938,4274.1025390625,4274.8715820313,4253.0771484375,4307.6923828125,4270.3847656250,,,
8.1328125000,0,4267.3076171875,4354.4873046875,4256.9228515625,4246.1538085938,4205.2563476563,4267.5639648438,4246.1538085938,4244.6152343750,4118.9741210938,4271.4101562500,4270.0000000000,4249.1025390625,4266.5385742188,4267.3076171875,4258.8461914063,4336.7949218750,,,
