k,raw_train,raw_test,preprocessed_train,preprocessed_test,features_train,features_test
1,1.0,0.9990234375,1.0,0.9484178586909406,1.0,0.4666666666666667
5,0.9992559523809523,0.9982638888888888,0.957969533717258,0.9129822280017339,0.7,0.5666666666666667
13,0.9967447916666666,0.9954427083333334,0.9105052944454765,0.8817728651928912,0.6142857142857143,0.5166666666666667
37,0.9916294642857143,0.9894748263888888,0.8708433958759056,0.8501300390117035,0.6214285714285714,0.4666666666666667
101,0.9875837053571429,0.9830729166666666,0.8466004086940367,0.8266146510619853,0.5785714285714286,0.4666666666666667
445,0.9816313244047619,0.9764539930555556,0.8264443618799926,0.8096012136974425,0.6071428571428571,0.4166666666666667
845,0.9708891369047619,0.9659288194444444,0.8054059074865316,0.7882531426094495,0.5785714285714286,0.35
1539,0.9567522321428571,0.9496527777777778,0.7851569756641278,0.767988729952319,0.5714285714285714,0.3333333333333333
3939,0.9364769345238095,0.9310980902777778,0.7643042912873862,0.7480494148244473,0.5714285714285714,0.3333333333333333
