k,raw_imagined_train,raw_imagined_test,preprocessed_imagined_train,preprocessed_imagined_test,features_imagined_train,features_imagined_test,raw_inner_train,raw_inner_test,preprocessed_inner_train,preprocessed_inner_test,features_inner_train,features_inner_test
1,1.0,0.9721544053819444,1.0,0.8488871375383863,1.0,0.081419624217119,1.0,0.9977484809027778,1.0,0.9258227572899964,1.0,0.07724425887265135
5,0.9693777901785714,0.9418538411458334,0.876476994124053,0.7478462918172677,0.3279569892473118,0.081419624217119,0.9956984747023809,0.9890407986111112,0.9275552216728687,0.8297823192108053,0.32526881720430106,0.07933194154488518
13,0.9293852306547619,0.9066840277777778,0.7681825328884152,0.6685191727586488,0.2168458781362007,0.06889352818371608,0.9800676618303571,0.9714219835069444,0.826598414833709,0.7448433296192625,0.22311827956989247,0.06889352818371608
37,0.8558814639136905,0.8394775390625,0.6315856904092199,0.5721933853303258,0.15412186379928317,0.08350730688935282,0.9375290643601191,0.9275580512152778,0.6887786299551005,0.634752833111395,0.1693548387096774,0.0709812108559499
101,0.7498953683035714,0.7379828559027778,0.49804038039332155,0.46685871130798706,0.10663082437275985,0.08559498956158663,0.8481038411458334,0.8367241753472222,0.541518894460071,0.5116313829931788,0.13440860215053763,0.06680584551148225
445,0.5280587332589286,0.5213487413194444,0.3351444527915116,0.32228170774791426,0.07974910394265233,0.0709812108559499,0.5940232049851191,0.5869683159722222,0.33986151633210454,0.3263037747642471,0.07974910394265233,0.06680584551148225
845,0.42648460751488093,0.4200710720486111,0.2825346354758119,0.2759192325461315,0.07616487455197132,0.054279749478079335,0.4625244140625,0.4617784288194444,0.27576186399715813,0.2671005788515368,0.08154121863799284,0.04175365344467641
1539,0.3359781901041667,0.3321940104166667,0.24105941753000576,0.23704378074299534,0.07168458781362007,0.05010438413361169,0.34994652157738093,0.3485514322916667,0.2276186982069335,0.21993640785933635,0.06810035842293907,0.054279749478079335
3939,0.22133672805059523,0.2206353081597222,0.19224654518772166,0.19142864907465282,0.06810035842293907,0.05010438413361169,0.22543480282738096,0.2270236545138889,0.17002393472981708,0.16690219311356905,0.06720430107526881,0.05219206680584551
