Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std,mfcc_imagined_train_mean,mfcc_imagined_train_std,mfcc_imagined_test_mean,mfcc_imagined_test_std,mfcc_inner_train_mean,mfcc_inner_train_std,mfcc_inner_test_mean,mfcc_inner_test_std,linear_imagined_train_mean,linear_imagined_train_std,linear_imagined_test_mean,linear_imagined_test_std,linear_inner_train_mean,linear_inner_train_std,linear_inner_test_mean,linear_inner_test_std
AdaBoostClassifier(),0.144630941,0.000896813,0.141866048,0.00141806,0.111986418,0.001792832,0.110398632,0.002078957,0.167705836,0.013050685,0.06457528,0.016969549,0.144028727,0.001716599,0.141731771,0.001241295,0.10821773,0.001225301,0.105657719,0.000459514,0.17021888,0.018477152,0.0802477,0.011292216,0.15861856,0.004865781,0.082745706,0.01683478,0.165514327,0.008028896,0.070849204,0.006236334,0.1789916937216041,0.0146322147036361,0.0771101482519858,0.0095430671622241,0.1695858295786503,0.0156855596778643,0.0783715409049931,0.006410020940951
AdaBoostClassifier(learning_rate=0.1),0.128493245,0.004634414,0.126814779,0.004404132,0.102826617,0.000522174,0.101377431,0.00187706,0.202198818,0.010912277,0.068340578,0.013243039,0.128279622,0.000535635,0.126871745,0.001028357,0.095173058,0.002764797,0.093159317,0.003877059,0.203445467,0.007615301,0.060192855,0.005591427,0.194979747,0.015761422,0.050170152,0.015204748,0.205952027,0.009499399,0.057052943,0.005386044,0.2053316499150038,0.0059492792631292,0.0858985977184014,0.0069902447407468,0.1896518695610144,0.0080588145796521,0.0689636048690464,0.0044015813746633
AdaBoostClassifier(learning_rate=0.5),0.147025553,0.001273529,0.145650228,0.002315185,0.113637386,0.001573264,0.111678635,0.002318816,0.206580951,0.006134468,0.079625854,0.003246216,0.146006266,0.002287781,0.143827311,0.00295478,0.106305874,0.001456748,0.103741772,0.001636146,0.215982395,0.015691324,0.079618774,0.005747687,0.195918418,0.014321938,0.062695581,0.003856486,0.202192924,0.011597647,0.073977316,0.014487826,0.2097243932974487,0.0147381873328696,0.0884084033058163,0.0082080952635868,0.2172446638704003,0.0127442795153112,0.0865275240832778,0.0101330455507866
AdaBoostClassifier(learning_rate=1.5),0.131054688,0.00420618,0.129081217,0.004007011,0.104569305,0.00178564,0.102999853,0.003183047,0.147329754,0.013151096,0.07334957,0.005477594,0.13174235,0.002159336,0.129581706,0.003830497,0.102685977,0.001539003,0.100370553,0.002147556,0.149525684,0.017927212,0.077103068,0.015067295,0.146082221,0.018122673,0.067085086,0.008456205,0.143577429,0.01047573,0.067078006,0.007827956,0.1648865814583495,0.0118772533515863,0.0984358259112942,0.0084917367087647,0.1686512848442838,0.0022897990780505,0.0764942016057091,0.0062724823028353
AdaBoostClassifier(learning_rate=2.0),0.075500488,0.005049758,0.075366211,0.004748687,0.072053439,0.005850105,0.071892406,0.00533986,0.118186459,0.012336569,0.072103517,0.003612813,0.080867513,0.003004667,0.07976888,0.002012281,0.073745167,0.002952153,0.07307458,0.003283997,0.114112893,0.016172985,0.050788459,0.008155188,0.130413345,0.02358144,0.07335429,6.51e-05,0.123190443,0.025527371,0.082139199,0.008535939,0.1238229039201956,0.0142597396863194,0.079004007193124,0.0086200278594831,0.1266371479026824,0.0195802226495848,0.0746204022296796,0.0161922967967655
AdaBoostClassifier(n_estimators=100),0.162103271,0.001904088,0.160469564,0.002354097,0.121509019,0.001375899,0.118608631,0.001871285,0.157994646,0.012083291,0.077112508,0.003998363,0.161242676,0.004010562,0.157250977,0.003798055,0.118755376,0.000161738,0.114809362,0.001597184,0.163946142,0.012435666,0.06458354,0.010268285,0.142944379,0.016236032,0.065207746,0.006433879,0.139177907,0.016059274,0.070219098,0.005385204,0.1692657679004661,0.036559734779354,0.0840165385214448,0.0064455460758021,0.1655158003192365,0.0116021903540055,0.0727312631862141,0.0047550749593858
AdaBoostClassifier(n_estimators=200),0.164196777,0.003354051,0.160412598,0.003129304,0.125762809,0.000896742,0.121205322,0.001968773,0.148592023,0.01267414,0.090899329,0.011658932,0.16885376,0.000259381,0.164725749,0.001258423,0.125630324,0.001709868,0.119803022,0.002197373,0.174601013,0.016644054,0.073976136,0.006148495,0.143573892,0.004636419,0.063958153,0.010802682,0.167395205,0.006965814,0.061438908,0.003494333,0.1479678146447963,0.0224562179262159,0.086528704057696,0.0108200603153732,0.1629977460113123,0.0263002637636936,0.0664537992816315,0.0063528393713613
AdaBoostClassifier(n_estimators=400),0.162329102,0.001893527,0.15806071,0.001129852,0.126258099,0.001189033,0.120288116,0.001727406,0.146393441,0.009852555,0.068350018,0.012947954,0.160640462,0.001374085,0.156831868,0.002348521,0.125866756,0.001201863,0.120332973,0.001317833,0.1877928,0.069903579,0.058929102,0.006160876,0.142950568,0.011867274,0.062701481,0.006451322,0.194683852,0.055280943,0.054547857,0.006710622,0.2043623286815345,0.0624224375685053,0.0721070567190103,0.0113619671163146,0.1714805593475693,0.0164732143501355,0.0695972511315954,0.0106675583194488
GaussianNB(),0.098016357,0.000520833,0.09802653,0.001939275,0.088050475,8.73e-05,0.087884364,0.000705496,0.088087774,0.004531922,0.076489028,0.006142921,0.09520874,0.000595726,0.094962565,0.001100184,0.081235655,0.000737125,0.080795393,0.000973707,0.084639498,0.003324954,0.070219436,0.012940293,0.370845682,0.00784765,0.093431554,0.016936631,0.374297692,0.007821526,0.063949894,0.009208783,0.0937276752558725,0.0061630958707949,0.0808754466203172,0.0066630078445345,0.0846383361979737,0.0027318254595508,0.0758570154199057,0.0068707366173178
KNeighborsClassifier(n_jobs=-2),0.939072673,0.000155157,0.851147461,0.001066609,0.774871489,0.000405489,0.540664709,0.001115442,0.335108703,0.0061989,0.078989848,0.008489189,0.930906169,0.001169768,0.833475749,0.00088321,0.759081332,0.001117804,0.515729017,0.000989083,0.332292101,0.009033666,0.063954613,0.00619407,0.336368909,0.01577916,0.070844484,0.003153517,0.317554823,0.000392472,0.060808802,0.007683504,0.3241429066551609,0.0116363065015164,0.0852767512000339,0.0158176542105936,0.3307168438499824,0.0094524576197995,0.0633268670735218,0.0054407943550202
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.938952637,0.000759849,1.0,0.0,0.712666784,0.001367096,1.0,0.0,0.080882526,0.005609081,1.0,0.0,0.929158529,0.000469649,1.0,0.0,0.679194981,0.001129356,1.0,0.0,0.070223818,0.00545187,1.0,0.0,0.076494202,0.011557013,1.0,0.0,0.065207746,0.004493906,1.0,0.0,0.0783739008538294,0.0064420437245678,1.0,0.0,0.077736714668026,0.0084025266617367
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.85273641,0.000376257,0.781180827,0.001382554,0.606949954,0.000372719,0.429393706,0.001276137,0.231349481,0.007373401,0.085267311,0.004703904,0.840329997,0.000653244,0.762679036,0.000957576,0.59187521,0.001122597,0.408440714,0.00131813,0.229463593,0.00953603,0.076487122,0.007233419,0.222568121,0.006888679,0.067082726,0.004402399,0.210030898,0.004344778,0.070228537,0.010293872,0.2354227525540096,0.0010746058478441,0.0796341135324186,0.0116043889298841,0.2307211467049561,0.000502367939742,0.0796305736091641,0.0079524531516729
"KNeighborsClassifier(n_jobs=-2, n_neighbors=139)",0.5846740722656251,0.0013427826852191,0.5626017252604166,0.0033395298344924,0.2865057020464892,0.0005625965884248,0.2485212555625121,0.0016108097367562,0.1047029025998674,0.0067215133613202,0.070212017803454,0.0108486199877159,0.5784830729166667,0.0007008390590147,0.5547037760416665,0.0014975174564227,0.2762758265764527,0.0012763302321008,0.2364223352403399,0.0014938010722856,0.1100290118523024,0.0086923240937004,0.0614424479277289,0.0009148767117555,0.1156745933507333,0.0020655843903244,0.0714722304820431,0.0026279686019241,0.0984313441175846,0.0107505445690228,0.0557998102601135,0.0038684769810374,0.1119143107062105,0.0047187300762519,0.0645882597265291,0.0131253290574442,0.11191283712574,0.009319880561448,0.0695901712850865,0.0110534863027768
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.781091309,0.000424388,0.727526855,0.000376774,0.487666677,0.000396346,0.36585803,0.000819933,0.17711671,0.008982289,0.078986308,0.011931967,0.768214925,0.000480109,0.709578451,0.000224718,0.473961624,0.000146373,0.34803168,0.000961859,0.165829673,0.010635496,0.078375081,0.009042275,0.173353775,0.00585235,0.070844484,0.016258538,0.158615023,0.013866975,0.059559209,0.004405676,0.1771170046470833,0.0024195926761088,0.0721105966422647,0.0131223159232914,0.1636337433423634,0.0077370011525873,0.0645752800079294,0.0093673365952259
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.697670492,0.000603936,0.661132813,0.001874511,0.380523091,0.000988859,0.307393468,0.000744807,0.141380615,0.003986331,0.067711652,0.004604696,0.687188721,0.000891796,0.649027507,0.000588841,0.369137544,0.000904073,0.295653268,0.001333047,0.139495316,0.008849793,0.055170884,0.007865436,0.151408625,0.004972146,0.075866455,0.009784005,0.134793711,0.007837016,0.058310796,0.009360004,0.1407513963648538,0.0050869783351391,0.0746027026134073,0.0110702621595633,0.1326036752275798,0.008010672390611,0.0727324431606322,0.0062693778681811
