Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std,mfcc_imagined_train_mean,mfcc_imagined_train_std,mfcc_imagined_test_mean,mfcc_imagined_test_std,mfcc_inner_train_mean,mfcc_inner_train_std,mfcc_inner_test_mean,mfcc_inner_test_std,linear_imagined_train_mean,linear_imagined_train_std,linear_imagined_test_mean,linear_imagined_test_std,linear_inner_train_mean,linear_inner_train_std,linear_inner_test_mean,linear_inner_test_std
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.982035319,0.000190767,1.0,0.0,0.865843761,0.00075112,1.0,0.0,0.07335783,0.00412946,1.0,0.0,0.972147624,0.000337164,1.0,0.0,0.782492427,0.001305453,1.0,0.0,0.072730083,0.007599114,1.0,0.0,0.048262134,0.01550237,1.0,0.0,0.07335547,0.004082951,1.0,0.0,0.0771172280984948,0.0040840927781127,1.0,0.0,0.0827610457405283,0.0041112764112853
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.936663818,0.000664265,0.906351725,0.001270522,0.755689715,0.000547389,0.636237259,0.001270712,0.217242011,0.002095943,0.080877807,0.013813098,0.910015869,0.000293646,0.865226237,0.0016332,0.677776371,0.000847009,0.516120352,0.000574099,0.214416863,0.007701998,0.069593711,0.001590001,0.217867104,0.012975957,0.054537238,0.010030217,0.208774229,0.00731143,0.053924831,0.00942055,0.2231985184032517,0.0065664088110408,0.0652148261425692,0.0128507845322107,0.227589493489132,0.0078858658202102,0.0633268670735218,0.0088920196187928
"KNeighborsClassifier(n_jobs=-2, n_neighbors=139)",0.69417724609375,0.0002251416961109,0.6766764322916666,0.0003277511485286,0.4138705566946803,0.0003010232407182,0.3802397678196447,0.002093050201665,0.1009381992139332,0.0088751502851837,0.067709292062548,0.0066675569361247,0.6660441080729167,0.0004784246172182,0.64605712890625,0.0015427614225653,0.3509259692097815,0.0009556657327881,0.312847769630377,0.0018571066324903,0.0990593841140952,0.0008656882810372,0.053292364621535,0.0017968829279125,0.0996856558140412,0.0053600457529609,0.0689742246388098,0.0098205103325234,0.1062722658009086,0.0069505259794479,0.0520404117638729,0.0049652114924777,0.1100343167419961,0.0077197131578423,0.0677246317299841,0.0151915866841096,0.1003160535393045,0.0060057044625528,0.0608158815116888,0.0077313398831443
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.893347168,0.000753745,0.865791829,0.002056425,0.655184642,0.000627989,0.568604742,0.001724676,0.166145019,0.008648557,0.063945174,0.006095768,0.857950846,0.000322249,0.822049967,0.001586267,0.567636591,0.000417825,0.454170424,0.000726208,0.174297161,0.007028435,0.065827233,0.00400819,0.165517274,0.002305485,0.069581911,0.011940293,0.154230532,0.009414053,0.061440088,0.004404856,0.1648910021997609,0.0031409363268769,0.0627050205551543,0.0102872152621544,0.1702235952062659,0.0108138177115626,0.0670874455441806,0.0032564655992868
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.824007161,0.000808193,0.801318359,0.001510946,0.546604104,0.000973549,0.487968333,0.001621352,0.136990819,0.003873446,0.07335429,0.004604764,0.786224365,0.000984402,0.758085124,0.000617981,0.46023415,0.000597183,0.390035512,0.002169382,0.139183801,0.014823357,0.059565109,0.00474402,0.12601736,0.005967174,0.067073286,0.013886115,0.133227589,0.006414719,0.058927922,0.011594661,0.1300944624024784,0.0047043297659798,0.0721058767445921,0.0151711971069591,0.1300944624024784,0.0012170392367626,0.0645717400846749,0.0061562328909753
"KNeighborsClassifier(n_jobs=-2, n_neighbors=89)",0.7607543945312499,0.0009493795711297,0.7405110677083333,0.0023001176891531,0.4738006061955948,0.0014174523648114,0.4292795644096658,0.0005923398098322,0.115360425994431,0.0004201855734297,0.0589361822635685,0.002396499284491,0.7258199055989584,0.0007175085800195,0.7023193359375001,0.0022736121391346,0.3988773430126147,0.0006789981565919,0.3466660699941303,0.0004247388715398,0.1156757722151097,0.0050755358002155,0.0614495277742378,0.0085176570865109,0.1206888929756187,0.0042077950355253,0.0764812218871094,0.0163802125159726,0.1128562233429292,0.0083515926018562,0.0520404117638729,0.0039027264567234,0.1122267097659482,0.0027373794353304,0.0702261774964718,0.0085168426644702,0.1097195599535055,0.0089222081542911,0.059566288602863,0.0062585142358335
LinearDiscriminantAnalysis(),0.1244313557942708,0.0002313752173302,0.1239095052083333,0.0010417461364949,0.1069632017492598,0.0002022697389459,0.1065300736328742,0.0009914929338774,0.3086206896551723,0.0060583536332563,0.0877742946708464,0.0144336858096819,0.1113271077473958,0.0006251048291561,0.1109456380208333,0.001835407875089,0.1063568294767824,0.0004004618198102,0.1058126259732597,0.0009692410308985,0.3072100313479624,0.0036758744199243,0.0827586206896551,0.0123177947989896,0.510342766606073,0.0071078511411818,0.0620749142158597,0.0120221937816927,0.4971804511278195,0.0040058966982394,0.0677116520113843,0.0015359432888523,0.3495341717416778,0.0099347874096933,0.1059652426735388,0.0116138663060768,0.3551750377826033,0.0085318230727859,0.0896485564192968,0.0075011082348613
SVC(cache_size=2000),,,,,,,,,0.0996865399623235,0.0023047412102021,0.0476461870306651,0.0031576305036497,,,,,,,,,0.0846374520496914,0.0073819978129357,0.0488934199906546,0.0110385137989554,0.0705329292186251,0.0015365298225328,0.0470219805634613,0.0030698195050456,0.0733521833747114,0.0047624373084915,0.0520427717127092,0.0062523077694387,0.0987446273256047,0.004241074737321,0.0583072558986921,5.173081058763516e-05,0.0827598158142298,0.0028030990438837,0.0457700277057993,0.0044523457342861
"SVC(cache_size=2000, degree=2, kernel='poly')",,,,,,,,,0.0884012712873434,0.0038407293735494,0.0507813790597019,0.0030334785463058,,,,,,,,,0.0799376144972025,0.0020439448229111,0.0501548126436618,0.0031660905949493,0.0680248952579001,0.000413040373839,0.0520368718406185,0.0008410428560054,0.0702193512945109,0.000428692089461,0.0476485469795014,0.0008659935073907,0.0880882827954175,0.0058738729592378,0.0463895142753305,0.0063573561348912,0.0793101639328801,0.0023401657861732,0.0520321519429458,0.0063524981174903
"SVC(cache_size=2000, degree=4, kernel='poly')",,,,,,,,,0.0959259626017065,0.0096050484142887,0.0482727534467052,0.0057872056756606,,,,,,,,,0.082444174877457,0.0023107970459808,0.0520404117638729,0.0032434931958456,0.073037721302315,0.006847825802691,0.0507825590341201,0.0014973508072755,0.0746085580838266,0.0024809784064216,0.0388730772316856,0.0049468949500637,0.097173790544093,0.0110633351105328,0.0526610783078222,0.0079541113652912,0.0827580475176652,0.0020078605836856,0.0445168948737191,0.0032370081452138
"SVC(cache_size=2000, kernel='poly')",,,,,,,,,0.0885579937304075,0.00462316025196,0.0470219435736677,0.0081745484704735,,,,,,,,,0.0772727272727272,0.0023563160467669,0.0426332288401253,0.0046917334003435,0.0774266333755366,0.0066741281472884,0.0476461870306651,0.0038316649229925,0.0733560146839346,0.0061163392061025,0.0507849189829564,0.002681963748598,0.0931014035559265,0.0047539451585178,0.0457641278337085,0.0046556948984603,0.0796234471409002,0.002456467254126,0.05015599261808,0.0017509070989809
"SVC(cache_size=2000, kernel='sigmoid')",,,,,,,,,0.0727272727272727,0.0017453806780031,0.0489028213166144,0.0025078369905956,,,,,,,,,0.0714733542319749,0.0024483541303782,0.0457680250783699,0.0078307184932895,0.0711592009185711,0.00190701873569,0.0457653078081267,0.0038329990117812,0.0705335186508133,0.0015626353687517,0.0470243405122976,0.0031086371739195,0.0739808128034102,0.0031887930552298,0.0489004998371635,0.0030349180598033,0.0702202354427932,0.0023693684208972,0.0545490373768696,0.0041130641663433
