Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std,mfcc_imagined_train_mean,mfcc_imagined_train_std,mfcc_imagined_test_mean,mfcc_imagined_test_std,mfcc_inner_train_mean,mfcc_inner_train_std,mfcc_inner_test_mean,mfcc_inner_test_std,linear_imagined_train_mean,linear_imagined_train_std,linear_imagined_test_mean,linear_imagined_test_std,linear_inner_train_mean,linear_inner_train_std,linear_inner_test_mean,linear_inner_test_std
"KNeighborsClassifier(n_jobs=-2, n_neighbors=1)",1.0,0.0,0.970467122,0.000463474,1.0,0.0,0.844805161,0.00175205,1.0,0.0,0.077110148,0.006976453,1.0,0.0,0.997395833,0.000116803,1.0,0.0,0.920574291,0.000719026,1.0,0.0,0.077743795,0.003215018,1.0,0.0,0.075867635,0.006988034,1.0,0.0,0.059562749,0.002386297,1.0,0.0,0.0708397641939122,0.0101796951786349,1.0,0.0,0.0833722724891324,0.0150868779867161
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.925946045,0.000555543,0.902665202,0.001367127,0.760330762,0.000778094,0.662864696,0.001333513,0.22633135,0.002250754,0.074610962,0.003262953,0.978816732,9.14e-05,0.969437663,0.000721581,0.820362723,0.000247299,0.735674311,0.001123567,0.22444782,0.008181046,0.06458,0.003606138,0.222881993,0.005288914,0.074601523,0.008402327,0.210972221,0.010798035,0.075232809,0.015565497,0.2238250848192918,0.0085691159309749,0.0833935120286592,0.0100614209359814,0.2238265583997623,0.006358852266284,0.0727241833397051,0.0057740890410703
"KNeighborsClassifier(n_jobs=-2, n_neighbors=139)",0.6999369303385418,0.000765455378559,0.6901936848958332,0.0016720315893566,0.4521097707248005,0.0009697403338316,0.4267807004457492,0.0009769838215758,0.119437233724009,0.0035679896649937,0.075859375368742,0.0038116852272646,0.795928955078125,0.0008968776485745,0.7863647460937501,0.0013146241574162,0.4885594190324394,0.000750374177906,0.4624374804641504,0.001444602852182,0.1031317711022617,0.0089302729343887,0.0626979407086454,0.0032356452012389,0.1169300839115663,0.0049864069550968,0.0721023368213377,0.0044642426131602,0.1106641250350712,0.0133956341396441,0.0677175518834751,0.0133258216630696,0.1181843956080228,0.0069677990504419,0.0714781303541339,0.0148260869249089,0.1112827341165708,0.0059150948419556,0.0633256870991036,0.0032532222120886
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.883292643,0.00070868,0.863712565,0.001126594,0.674517247,0.000612005,0.603336172,0.000598802,0.170848688,0.015846008,0.066456159,0.00171546,0.955627441,0.000163167,0.94613444,0.000377345,0.734357613,0.000792998,0.671066526,0.000355358,0.180248658,0.013192058,0.073971416,0.015938547,0.170221827,0.005608202,0.07148049,0.010122428,0.17712231,0.014986727,0.072732443,0.010259603,0.1746086759702643,0.0051314719178043,0.0670886255185987,0.0076090994135723,0.1884007997415929,0.001094094431372,0.0733625494999268,0.0116489705328424
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.817789714,0.000744334,0.802339681,0.001266136,0.575744667,0.000469501,0.528227447,0.00231311,0.148281393,0.015066973,0.070221458,0.014757538,0.90824585,0.000240296,0.89757487,0.001266881,0.629710855,0.000884844,0.585517979,0.002859199,0.146396683,0.005703611,0.075242249,0.009275165,0.130720145,0.007549569,0.070221458,0.008743807,0.139186454,0.007354509,0.058306076,0.001491623,0.1413794363613643,0.0119090344120043,0.0808837064412443,0.0217836896729464,0.1420068869256867,0.0015902968371168,0.0815031930107755,0.0035098763035076
"KNeighborsClassifier(n_jobs=-2, n_neighbors=89)",0.7591084798177085,0.0001315996226301,0.7460815429687501,0.001610711490281,0.5070889582591092,0.000810119224891,0.4732074774736239,0.0029166794947912,0.1316585207138259,0.0067661738605441,0.0746015226389891,0.0075143882028543,0.856591796875,0.0008548989917065,0.8466756184895834,0.000823730935066,0.5537725564301019,0.0005890890587112,0.5194263538947798,0.0016485340242361,0.1275876073061298,0.0112078456702036,0.0827563258428557,0.0170796920672909,0.1216246165743615,0.0125684118927151,0.0670886255185987,0.0064350449873979,0.1172436618356804,0.0066599880212409,0.0589361822635685,0.0072700389040008,0.1257052556131627,0.0072988914002229,0.0827681255870372,0.0162993969714071,0.119750516932029,0.0039792577283299,0.0639546134639801,0.0053800043011139
LinearDiscriminantAnalysis(),0.1309906005859374,0.0004426556911211,0.1303466796875,0.000857239198064,0.1133092263476592,0.0008990431925336,0.1127956037265916,0.0015871944847483,0.3163009404388714,0.0058772204574459,0.1053291536050156,0.0123177947989896,0.132574462890625,0.0003806129158063,0.13211669921875,0.0009580251502264,0.1073025670603237,0.0004610107979873,0.1069051181092002,0.0012037262867886,0.3285266457680251,0.0106928262701006,0.1003134796238244,0.0202188282088991,0.5147307945310123,0.0114281206785432,0.0758617353175783,0.0023327034812342,0.5031372528216119,0.0134811707713241,0.0771125082008222,0.0039983631213998,0.353918663073488,0.0005391832350964,0.1222571494649995,0.0015385961497769,0.3545434611929636,0.0046416164694782,0.1097199212721068,0.0072842348759283
SVC(cache_size=2000),,,,,,,,,0.0940436109087394,0.0013098579135769,0.0476509069283377,0.0058278641458577,,,,,,,,,0.0934149814800406,0.0049584482602685,0.044508635052792,0.0087045541162526,0.0705329292186251,0.0007687417216996,0.0470219805634613,0.0015353349037882,0.0742926224309598,0.0046364840080971,0.0470231605378795,0.0015724920129577,0.0987449220416987,0.0027258263661013,0.0520463116359637,0.0108326951058839,0.0912225884560884,0.0023046723559805,0.0526657982054949,0.0026828202082071
"SVC(cache_size=2000, degree=2, kernel='poly')",,,,,,,,,0.0902803811032755,0.0040226957779958,0.050774299213193,0.0107119962399016,,,,,,,,,0.0899694556240082,0.0023760388397161,0.0520380518150366,0.0038680529728345,0.0768003616755906,0.0061794231136288,0.0532970845192076,0.0064432185176101,0.0695924901623767,0.0007687248864997,0.0489028597859998,0.0015353811531448,0.087773526006927,0.0018963732822022,0.0489040397604179,0.0040755848373461,0.0858929426105244,0.0021982062865479,0.05015599261808,0.0017509070989809
"SVC(cache_size=2000, degree=4, kernel='poly')",,,,,,,,,0.0949858182615522,0.0043078240054524,0.0489052197348361,0.0053401079542072,,,,,,,,,0.0921615539318663,0.0034793672564928,0.0526634382566585,0.002636057040071,0.0789927546995428,0.0093983448427356,0.0583119757963647,0.0053749980936377,0.0705335186508133,0.0020522644460509,0.0470243405122976,0.0040902522667731,0.093729443552437,0.0026623237043609,0.0488993198627453,0.0045711054555718,0.0927901833605651,0.0016107465939168,0.0520345118917821,0.0046573376531422
"SVC(cache_size=2000, kernel='poly')",,,,,,,,,0.0894984326018808,0.0033762788759463,0.0520376175548589,0.0042522445035268,,,,,,,,,0.0891849529780564,0.0015196488581242,0.0420062695924764,0.011662116136513,0.071472189410497,0.0026274535990729,0.0476473670050833,0.001732147786773,0.0714736629909675,0.0007953309010258,0.0420094492351405,0.0058360795145729,0.0931028771363969,0.0012883025182002,0.0507849189829564,0.002681963748598,0.0880873986471352,0.0024551701300287,0.053292364621535,0.0032086331643538
"SVC(cache_size=2000, kernel='sigmoid')",,,,,,,,,0.0699059561128526,0.0051126979405329,0.0445141065830721,0.0105657050447352,,,,,,,,,0.0750783699059561,0.0010396942916474,0.0420062695924764,0.0061429209850361,0.0702205301588873,0.0024983513180963,0.0445204347969735,0.0077692621485335,0.0711594956346652,0.001758037849679,0.0457664877825448,0.0035253611308714,0.0742952748758066,0.0015640874383782,0.0463883343009123,0.0084246040139135,0.0736663507310138,0.0049165574604896,0.0451399213665047,0.0070260383516942
