Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std,mfcc_imagined_train_mean,mfcc_imagined_train_std,mfcc_imagined_test_mean,mfcc_imagined_test_std,mfcc_inner_train_mean,mfcc_inner_train_std,mfcc_inner_test_mean,mfcc_inner_test_std,linear_imagined_train_mean,linear_imagined_train_std,linear_imagined_test_mean,linear_imagined_test_std,linear_inner_train_mean,linear_inner_train_std,linear_inner_test_mean,linear_inner_test_std
AdaBoostClassifier(),0.156520589,0.005499807,0.155871582,0.006001499,0.154161454,0.001097661,0.151489331,0.001170955,0.166460365,0.01758995,0.078373901,0.008898771,0.145404053,0.001770763,0.143359375,0.002156491,0.134726944,0.002323163,0.131836725,0.001155685,0.150782059,0.024476649,0.077747334,0.00849636,0.149206212,0.028118516,0.067076826,0.009942908,0.158935674,0.010183665,0.063953433,0.008005939,0.1786787052296781,0.0180122841896098,0.0865204442367689,0.0030704956847922,0.1761703765528591,0.0117231655721171,0.0852767512000339,0.0180436857564662
AdaBoostClassifier(learning_rate=0.1),0.145967611,0.000489915,0.144954427,0.000335983,0.133540689,0.000239758,0.131588066,0.000589132,0.201561642,0.016148945,0.077119588,0.010770844,0.136887614,0.003488198,0.135428874,0.004516231,0.120551054,0.000551291,0.119436147,0.0019486,0.220690779,0.018988614,0.073977316,0.005340657,0.21379737,0.012556031,0.065824873,0.009549979,0.195613681,0.005619026,0.063953433,0.009362168,0.2191208265253915,0.0108598945881927,0.1040772836044914,0.0032615470523046,0.2231902663526171,0.0171629928319789,0.0840200784446993,0.0085376006726145
AdaBoostClassifier(learning_rate=0.5),0.160174561,0.00335065,0.157873535,0.002632194,0.156372927,0.002376603,0.154469238,0.003960118,0.192783817,0.015676786,0.085261412,0.010180584,0.151424154,0.002759844,0.149511719,0.003380576,0.139166202,0.000611633,0.136663258,0.001269147,0.215980332,0.017658811,0.084012999,0.013055814,0.193097101,0.015433502,0.062694401,0.007863974,0.207201918,0.027947899,0.053295905,0.007289019,0.2300957591532924,0.0057285986305124,0.1072065757614375,0.0039721630107385,0.2351047538884841,0.0180913811547434,0.0965525867399194,0.0018171391497511
AdaBoostClassifier(learning_rate=1.5),0.138694255,0.007091025,0.136503092,0.005453254,0.131524876,0.002036665,0.128506279,0.003852638,0.145459191,0.013223601,0.086514544,0.013257404,0.133886719,0.001672237,0.132694499,0.002610694,0.117616006,0.001587748,0.115465673,0.001306486,0.162380905,0.007736563,0.075859375,0.014893424,0.167399626,0.010912019,0.078363281,0.010174792,0.136987282,0.008080397,0.063322147,0.004678699,0.153299228786925,0.0196484024355328,0.0858915178718925,0.0117083303979148,0.1598784708714401,0.0089221210062662,0.0833817122844776,0.0088269770174782
AdaBoostClassifier(learning_rate=2.0),0.096877035,0.003366782,0.096854655,0.00406033,0.081561782,0.007565876,0.081431302,0.007740084,0.111916079,0.008901364,0.070217918,0.007862518,0.095631917,0.021620379,0.094954427,0.021665162,0.073681973,0.007184293,0.072768863,0.006154469,0.129786779,0.014148862,0.075871175,0.010963561,0.104079283,0.013816986,0.060189315,0.002686254,0.134480133,0.016106818,0.063320967,0.003158083,0.1275884914544121,0.0158397604706419,0.0752280890550292,0.0100192479018822,0.1084634799604844,0.0066143728191474,0.0877735770688491,0.0107738180534247
AdaBoostClassifier(n_estimators=100),0.165684001,0.003884785,0.163130697,0.003174052,0.15845192,0.002278621,0.155137774,0.001775119,0.136364253,0.00139,0.094047501,0.005597751,0.16034139,0.00107119,0.157368978,0.000137506,0.144186358,0.000395005,0.140539973,0.000892996,0.160491775,0.022208154,0.07335783,0.008010162,0.146390789,0.014615256,0.062688501,0.008407974,0.14764569,0.00725734,0.067082726,0.003155799,0.1739835831346946,0.0076170414997393,0.107218375505619,0.016085696478175,0.1761812810483405,0.0189302545169163,0.0833899721054047,0.0111381771219127
AdaBoostClassifier(n_estimators=200),0.169425456,0.001413719,0.166947428,0.002404761,0.158054471,0.001484453,0.15466897,0.001887352,0.140754344,0.005911689,0.085273211,0.008528763,0.166638184,0.000552854,0.164147949,0.003334881,0.144553237,0.001318075,0.139720601,0.000842266,0.145456539,0.005052427,0.084636025,0.003991812,0.161118636,0.032350476,0.066466779,0.010955746,0.160817436,0.018470246,0.065201846,0.005789767,0.172725734845109,0.0077345054671142,0.0927931882436788,0.0113404373244889,0.1902802042736191,0.0302699679581531,0.0790016472442877,0.0081716873943062
AdaBoostClassifier(n_estimators=400),0.164788818,0.004248927,0.162141927,0.002913372,0.154609864,0.001625083,0.150718887,0.000708306,0.151092689,0.010385238,0.089657996,0.006244828,0.157696533,0.002413306,0.156030273,0.002281463,0.143236547,0.00078787,0.139178423,0.0014548,0.15798993,0.014054411,0.065836673,0.008597241,0.149216821,0.002933573,0.065206566,0.003254844,0.145464791,0.027750289,0.065844932,0.016028208,0.178374852936669,0.0115740089857303,0.0927884683460062,0.0078581815407683,0.2523226575375409,0.0785431448317529,0.0758699951385054,0.0139761697246501
GaussianNB(),0.103654989,0.000677292,0.103426107,0.001326934,0.093012544,0.000518313,0.09287802,0.00049356,0.081347962,0.003483716,0.068965517,0.01138928,0.103215535,0.000391345,0.103145345,0.001550256,0.093902231,0.000423086,0.0937137,0.001714937,0.086990596,0.001643901,0.077115987,0.006454941,0.3620711,0.0049499,0.075245789,0.016660071,0.375862634,0.003683979,0.07335901,0.009376679,0.0830719201578735,0.0023398756695914,0.0764812218871094,0.0116791542031985,0.0905972009044247,0.0042622550495095,0.0721094166678466,0.0123736943743251
KNeighborsClassifier(n_jobs=-2),0.968100993,9.35e-05,0.940580241,0.000350455,0.872113357,0.000726188,0.739836369,0.000704772,0.325709028,0.008352167,0.082759866,0.004085811,0.995316569,0.000132727,0.987825521,0.00053203,0.922196722,0.000195498,0.819690114,0.001896162,0.335105461,0.013309745,0.0645682,0.009822673,0.331661704,0.003128593,0.08025714,0.007331336,0.309092935,0.007055771,0.077749694,0.011365319,0.3253866085722302,0.0133235075540267,0.0720987968980832,0.0078621545837437,0.3216277995081777,0.0162105743055366,0.0764918416568728,0.0032645748970411
