Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
8.0,0,5607.436035,3301.923096,8374.230469,2545.769287,4320.897461,6006.153809,317.5640869,8334.487305,1675.0,5111.025879,7533.589844,426.5384521,6371.922852,6003.077148,1091.153809,1136.666626,t,articulators
8.0078125,0,2105.128174,1358.333374,6381.025879,3653.205078,6728.974121,6335.769043,1708.333374,8008.846191,958.333313,7457.820313,7685.769043,6990.0,1575.128174,4335.256348,7917.179688,3532.05127,t,articulators
8.015625,0,6524.743652,7117.307617,6359.487305,8038.974609,2557.307617,416.1538391,5513.205078,4337.692383,6302.436035,5081.025879,1235.0,3984.102539,6170.384766,908.9743652,1650.0,4095.128174,t,articulators
8.0234375,0,1312.307739,2100.256348,5977.692383,89.48716736,3637.435791,7888.333496,3209.871826,2209.871826,6001.538574,2286.410156,7490.769043,5436.666504,3911.153809,116.0256348,5948.333496,452.8204956,t,articulators
8.03125,0,609.7435913,3250.769287,2830.769287,4911.153809,1455.512817,3063.333252,7207.05127,1496.282104,2197.820557,4115.897461,5812.563965,3090.641113,3094.743652,62.94870758,3807.435791,3713.589844,t,articulators
8.0390625,0,3115.512939,6520.128418,2452.820557,4263.846191,5350.769043,5677.307617,7174.743652,1320.897461,5526.025879,1809.359009,7502.563965,4252.563965,6740.0,3120.384521,3925.769287,1633.461548,t,articulators
8.046875,0,146.5384521,134.743576,7385.512695,4767.563965,1596.025635,535.6409912,221.5384521,438.8461609,6610.641113,3368.461426,2325.0,8222.948242,2216.410156,629.1025391,7201.282227,2537.820557,t,articulators
8.0546875,0,5532.692383,1437.564087,887.3076782,74.23075867,3052.307617,7128.717773,5423.589844,4022.564209,358.5897217,2641.410156,4781.025879,3141.923096,7688.974609,3297.05127,5220.384766,2334.871826,t,articulators
8.0625,0,6125.128418,1562.564087,4042.94873,5844.230957,6132.436035,8162.692383,7181.538574,3304.871826,6518.333496,1950.640991,2386.153809,6665.769043,4485.897461,1504.102539,154.6153717,4588.589844,t,articulators
8.0703125,0,1567.435913,3465.512939,462.5640869,1775.897461,7666.025879,8395.256836,20.25640106,1048.333374,1895.256348,6880.769043,7981.666504,2609.615479,591.666687,4091.923096,7501.922852,1477.435913,t,articulators
8.078125,0,3079.487061,1249.359009,525.7692261,5676.794922,1919.359009,1158.461548,4269.230957,6586.922852,2448.076904,3803.333252,641.0256348,1550.512817,6347.05127,2203.846191,7789.615234,7024.487305,t,articulators
