k,raw_imagined_train,raw_imagined_test,preprocessed_imagined_train,preprocessed_imagined_test,features_imagined_train,features_imagined_test,raw_inner_train,raw_inner_test,preprocessed_inner_train,preprocessed_inner_test,features_inner_train,features_inner_test
1,1,0.942966037,1,0.723224719,1,0.064718163,1,0.933336046,1,0.690151371,1,0.09394572
5,0.944109235,0.85808648,0.783218901,0.553238036,0.342293907,0.068893528,0.935622442,0.839558919,0.767722474,0.528168057,0.311827957,0.075156576
13,0.859264555,0.78777398,0.616613381,0.440185341,0.25,0.070981211,0.846226283,0.768649631,0.600377365,0.41843085,0.225806452,0.081419624
37,0.743193127,0.698391385,0.434686141,0.340530478,0.152329749,0.077244259,0.730247861,0.68371582,0.420872715,0.323314401,0.152329749,0.056367432
101,0.631057013,0.602322049,0.317644729,0.270891649,0.106630824,0.073068894,0.619756789,0.592868381,0.306370365,0.257711226,0.132616487,0.054279749
445,0.441824777,0.429321289,0.214504097,0.200600592,0.08781362,0.056367432,0.443905785,0.434068468,0.205553323,0.188507215,0.077956989,0.052192067
845,0.364844913,0.359402127,0.184646832,0.176794304,0.083333333,0.045929019,0.369006929,0.360907661,0.178200178,0.166766312,0.081541219,0.039665971
1539,0.300415039,0.297539605,0.163478281,0.157540017,0.075268817,0.039665971,0.302280971,0.295138889,0.158015805,0.151153627,0.071684588,0.050104384
3939,0.211274647,0.210801866,0.136358078,0.133828845,0.07078853,0.043841336,0.217715309,0.214504666,0.134389723,0.130662826,0.069892473,0.045929019
