k,raw_train,raw_test,preprocessed_train,preprocessed_test,features_train,features_test
1,1.0,0.94814453125,1.0,0.580894867766431,1.0,0.100418410041841
5,0.9584402901785715,0.9072428385416667,0.711436086270384,0.4740606179628175,0.35251798561151076,0.06694560669456066
13,0.912646484375,0.8759765625,0.5795405926705243,0.41550471327572663,0.21223021582733814,0.07112970711297072
25,0.8741559709821428,0.846142578125,0.49067508328949677,0.38257724535218646,0.17446043165467626,0.058577405857740586
75,0.7918805803571428,0.7720865885416667,0.37405576012624936,0.32238478659334907,0.10611510791366907,0.06276150627615062
101,0.7622419084821429,0.7434733072916667,0.3493740136770121,0.3072630269704111,0.08992805755395683,0.06276150627615062
223,0.6633370535714286,0.6513346354166667,0.28880238470980185,0.26407436501702014,0.08992805755395683,0.05439330543933055
375,0.586572265625,0.5766764322916667,0.25627915132386464,0.24055708300602252,0.07194244604316546,0.04602510460251046
555,0.5274623325892858,0.5192708333333333,0.23593897948448186,0.2209347996857816,0.0683453237410072,0.0502092050209205
