k,raw_train,raw_test,preprocessed_train,preprocessed_test,features_train,features_test
1,1,0.999023438,1,0.948417859,1,0.516666667
5,0.999255952,0.998263889,0.957969534,0.912982228,0.7,0.506666667
13,0.996744792,0.995442708,0.910505294,0.881772865,0.614285714,0.496666667
37,0.991629464,0.989474826,0.870843396,0.850130039,0.621428571,0.466666667
101,0.987583705,0.983072917,0.846600409,0.826614651,0.578571429,0.433333333
445,0.981631324,0.976453993,0.826444362,0.809601214,0.607142857,0.416666667
845,0.970889137,0.965928819,0.805405907,0.788253143,0.578571429,0.35
1539,0.956752232,0.949652778,0.785156976,0.76798873,0.571428571,0.333333333
3939,0.936476935,0.93109809,0.764304291,0.748049415,0.571428571,0.333333333
