Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,TP9,TP10,Event Id,Event Date,Event Duration
8.0000000000,0,5607.4360351563,3301.9230957031,8374.2304687500,2545.7692871094,4320.8974609375,6006.1538085938,317.5640869141,8334.4873046875,1675.0000000000,5111.0258789063,7533.5898437500,426.5384521484,6371.9228515625,6003.0771484375,1091.1538085938,1136.6666259766,,,
8.0078125000,0,2105.1281738281,1358.3333740234,6381.0258789063,3653.2050781250,6728.9741210938,6335.7690429688,1708.3333740234,8008.8461914063,958.3333129883,7457.8203125000,7685.7690429688,6990.0000000000,1575.1281738281,4335.2563476563,7917.1796875000,3532.0512695313,,,
8.0156250000,0,6524.7436523438,7117.3076171875,6359.4873046875,8038.9746093750,2557.3076171875,416.1538391113,5513.2050781250,4337.6923828125,6302.4360351563,5081.0258789063,1235.0000000000,3984.1025390625,6170.3847656250,908.9743652344,1650.0000000000,4095.1281738281,,,
8.0234375000,0,1312.3077392578,2100.2563476563,5977.6923828125,89.4871673584,3637.4357910156,7888.3334960938,3209.8718261719,2209.8718261719,6001.5385742188,2286.4101562500,7490.7690429688,5436.6665039063,3911.1538085938,116.0256347656,5948.3334960938,452.8204956055,,,
8.0312500000,0,609.7435913086,3250.7692871094,2830.7692871094,4911.1538085938,1455.5128173828,3063.3332519531,7207.0512695313,1496.2821044922,2197.8205566406,4115.8974609375,5812.5639648438,3090.6411132813,3094.7436523438,62.9487075806,3807.4357910156,3713.5898437500,,,
8.0390625000,0,3115.5129394531,6520.1284179688,2452.8205566406,4263.8461914063,5350.7690429688,5677.3076171875,7174.7436523438,1320.8974609375,5526.0258789063,1809.3590087891,7502.5639648438,4252.5639648438,6740.0000000000,3120.3845214844,3925.7692871094,1633.4615478516,,,
8.0468750000,0,146.5384521484,134.7435760498,7385.5126953125,4767.5639648438,1596.0256347656,535.6409912109,221.5384521484,438.8461608887,6610.6411132813,3368.4614257813,2325.0000000000,8222.9482421875,2216.4101562500,629.1025390625,7201.2822265625,2537.8205566406,,,
8.0546875000,0,5532.6923828125,1437.5640869141,887.3076782227,74.2307586670,3052.3076171875,7128.7177734375,5423.5898437500,4022.5642089844,358.5897216797,2641.4101562500,4781.0258789063,3141.9230957031,7688.9746093750,3297.0512695313,5220.3847656250,2334.8718261719,,,
8.0625000000,0,6125.1284179688,1562.5640869141,4042.9487304688,5844.2309570313,6132.4360351563,8162.6923828125,7181.5385742188,3304.8718261719,6518.3334960938,1950.6409912109,2386.1538085938,6665.7690429688,4485.8974609375,1504.1025390625,154.6153717041,4588.5898437500,,,
8.0703125000,0,1567.4359130859,3465.5129394531,462.5640869141,1775.8974609375,7666.0258789063,8395.2568359375,20.2564010620,1048.3333740234,1895.2563476563,6880.7690429688,7981.6665039063,2609.6154785156,591.6666870117,4091.9230957031,7501.9228515625,1477.4359130859,,,
8.0781250000,0,3079.4870605469,1249.3590087891,525.7692260742,5676.7949218750,1919.3590087891,1158.4615478516,4269.2309570313,6586.9228515625,2448.0769042969,3803.3332519531,641.0256347656,1550.5128173828,6347.0512695313,2203.8461914063,7789.6152343750,7024.4873046875,,,
8.0859375000,0,2268.5898437500,6853.0771484375,3004.6154785156,73.3333282471,3262.1794433594,936.5384521484,7960.3847656250,1574.2307128906,1808.2050781250,1386.9230957031,8291.2822265625,3367.6923828125,3740.3845214844,7208.3334960938,5233.8461914063,5431.7949218750,,,
