Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
8.0000000000,0,8.4615297318,7920.1284179688,1912.9487304688,7058.2050781250,301.7948608398,534.4871826172,795.3845825195,8212.0517578125,6113.5898437500,3124.7436523438,3400.2563476563,7064.1025390625,7009.6152343750,1861.9230957031,7177.0512695313,7592.4360351563,,,
8.0078125000,0,6581.5385742188,1388.2050781250,379.4871826172,2921.2819824219,3284.6154785156,594.7435913086,1923.9743652344,1770.7691650391,3362.6923828125,739.2307739258,4174.3588867188,971.6666870117,2233.0769042969,7792.6923828125,961.5384521484,6161.5385742188,,,
8.0156250000,0,3622.1794433594,2748.9743652344,564.3589477539,2366.6667480469,6351.0258789063,5917.4360351563,5803.2050781250,1317.8205566406,7962.3076171875,7400.0000000000,758.8461303711,7722.3076171875,6469.6152343750,3579.1025390625,7356.9228515625,7044.8715820313,,,
8.0234375000,0,1273.3333740234,2603.3332519531,7210.2563476563,5686.0258789063,4939.7436523438,2377.0512695313,2323.2050781250,3777.1794433594,305.5128173828,7726.0258789063,6957.8203125000,2890.0000000000,6184.1025390625,8183.9746093750,7940.8974609375,4283.7177734375,,,
8.0312500000,0,620.7692260742,2754.4870605469,4827.5639648438,3527.9487304688,6708.4614257813,4172.9487304688,627.3076782227,1996.5384521484,8375.6406250000,966.9230957031,5376.1538085938,3011.5385742188,2725.7692871094,7841.7949218750,5600.7690429688,5892.8203125000,,,
8.0390625000,0,3630.6411132813,5392.1796875000,6249.8715820313,6036.7949218750,1087.4359130859,1488.7178955078,5035.6411132813,4907.1796875000,2801.4101562500,3500.3845214844,6046.7949218750,7237.9487304688,3332.8205566406,5822.0512695313,4297.6923828125,5348.0771484375,,,
8.0468750000,0,3701.5385742188,1690.0000000000,5702.9487304688,2297.3076171875,5316.4101562500,3271.7949218750,7662.0512695313,3073.7180175781,3845.7692871094,1653.9743652344,2930.2563476563,6151.9228515625,4520.0000000000,3056.0256347656,2110.6411132813,5329.8715820313,,,
8.0546875000,0,5137.0512695313,8141.0258789063,7600.1284179688,7727.3076171875,621.1538085938,7118.5898437500,4505.3847656250,7380.3847656250,2368.4614257813,7923.3334960938,8011.0258789063,8103.4614257813,5391.0258789063,7712.0512695313,8100.7690429688,7076.2822265625,,,
8.0625000000,0,1790.7691650391,5791.7949218750,4817.9487304688,5926.5385742188,7949.7436523438,1432.0512695313,687.0512695313,6241.2822265625,7945.7690429688,3227.1794433594,149.8717803955,48.0769157410,7271.1538085938,4774.6152343750,7204.1025390625,367.6922912598,,,
8.0703125000,0,2861.2819824219,5935.5126953125,6886.1538085938,7490.2563476563,3407.4357910156,4017.9487304688,2806.2819824219,707.6923217773,3901.6667480469,3654.6154785156,7992.9487304688,1264.8718261719,2615.5126953125,4978.0771484375,738.0769042969,8022.4360351563,,,
8.0781250000,0,3103.0769042969,3342.3076171875,1566.6666259766,6809.8715820313,7949.6152343750,6392.8203125000,2125.8974609375,2397.6923828125,3893.2050781250,8328.9746093750,6564.2309570313,7589.4873046875,5392.1796875000,2064.1025390625,3434.8718261719,6361.6665039063,,,
8.0859375000,0,3056.4101562500,5536.5385742188,1573.8461914063,1433.0769042969,7123.3334960938,879.4871826172,811.1538085938,3175.5129394531,6182.0512695313,4825.1284179688,7448.5898437500,1073.2050781250,31.0256328583,4271.0258789063,452.4358825684,2813.3332519531,,,
8.0937500000,0,6188.3334960938,2621.6667480469,7770.1284179688,5703.3334960938,1364.2307128906,8245.8974609375,5983.0771484375,7784.6152343750,1120.2563476563,1560.7691650391,5540.5126953125,7219.4873046875,5328.5898437500,1557.1794433594,3460.0000000000,8357.9482421875,,,
8.1015625000,0,378.5897216797,2655.6411132813,3705.7692871094,6398.2050781250,2262.6923828125,7133.7177734375,5310.1284179688,2632.0512695313,160.3846130371,6903.4614257813,5893.5898437500,2546.4101562500,5863.2050781250,5154.8715820313,4613.2050781250,1799.3590087891,,,
8.1093750000,0,2619.7436523438,3510.1281738281,1931.2821044922,3144.1025390625,4132.1796875000,3657.9487304688,1421.4102783203,1056.6666259766,1661.9230957031,5836.2822265625,748.5897216797,1623.5897216797,3445.6411132813,1421.0256347656,4145.6411132813,3973.5898437500,,,
8.1171875000,0,1353.3333740234,6765.8974609375,4067.4357910156,8080.1284179688,4556.5385742188,3516.0256347656,7531.0258789063,5678.8461914063,8178.7177734375,6038.7177734375,1946.0256347656,6909.2309570313,4012.5642089844,6286.5385742188,2699.8718261719,7666.4101562500,,,
8.1250000000,0,6541.6665039063,6238.7177734375,6069.2309570313,5075.2563476563,6905.5126953125,7524.1025390625,6004.2309570313,6920.3847656250,2080.8974609375,3980.5129394531,3911.7949218750,6816.7949218750,1195.8974609375,3865.0000000000,2824.8718261719,8398.9746093750,,,
8.1328125000,0,6443.3334960938,5860.3847656250,7806.4101562500,2274.1025390625,735.5128173828,3416.5385742188,3523.4614257813,1063.2050781250,543.3333129883,4036.0256347656,3714.1025390625,5066.4101562500,5941.9228515625,5493.7177734375,4598.4614257813,7167.5639648438,,,
8.1406250000,0,7624.1025390625,7138.4614257813,5825.0000000000,6458.0771484375,4010.8974609375,5780.1284179688,4045.7692871094,2651.4101562500,5539.3588867188,31.7948627472,1805.0000000000,2461.7949218750,969.3589477539,2958.2050781250,1436.2821044922,3761.1538085938,,,
8.1484375000,0,3941.6667480469,641.0256347656,6114.7436523438,1446.5384521484,1695.3846435547,6272.0512695313,7040.6411132813,5517.3076171875,6063.2050781250,6081.6665039063,1956.6666259766,2178.5898437500,7839.2309570313,6143.8461914063,4547.4360351563,1850.2563476563,,,
8.1562500000,0,8219.8720703125,6085.2563476563,4017.5642089844,738.9743652344,5881.1538085938,7700.8974609375,7032.1796875000,5513.8461914063,6841.4101562500,2125.7692871094,8076.6665039063,2239.4870605469,6906.4101562500,3093.8461914063,2759.2307128906,2671.7949218750,,,
8.1640625000,0,4319.3588867188,510.0000000000,1910.3846435547,118.7179412842,1784.8718261719,1048.7178955078,3476.0256347656,1705.2563476563,7798.5898437500,7883.7177734375,6504.7436523438,5222.8203125000,4337.9487304688,1523.9743652344,7432.0512695313,2443.3332519531,,,
8.1718750000,0,6355.8974609375,2371.6667480469,7972.9487304688,3970.7692871094,4949.2309570313,6762.1796875000,6808.9741210938,3209.6154785156,1182.3077392578,2598.4614257813,6825.2563476563,204.4871673584,3606.7949218750,593.9743652344,2693.9743652344,4335.1284179688,,,
8.1796875000,0,5712.8203125000,971.5384521484,7601.4101562500,4065.2563476563,3523.3332519531,5622.4360351563,6521.2822265625,1048.9743652344,7094.7436523438,4126.5385742188,7245.2563476563,846.6666870117,44.4871711731,8372.1796875000,6593.7177734375,5069.3588867188,,,
8.1875000000,0,732.0512695313,8192.4355468750,7551.2822265625,4994.8715820313,4505.7690429688,270.6410217285,3347.4357910156,1437.3077392578,4366.9228515625,2190.6411132813,8187.5639648438,4891.7949218750,373.2051086426,5042.6923828125,3475.3845214844,5863.7177734375,,,
8.1953125000,0,8003.8461914063,8057.4360351563,1167.8205566406,3739.2307128906,7807.0512695313,148.3333282471,4590.6411132813,1837.6922607422,3763.0769042969,7723.0771484375,7334.8715820313,735.2564086914,5182.5639648438,4650.8974609375,2520.8974609375,6143.3334960938,,,
